시도,승인일자,이용건수_전체,이용금액_전체,이용건수_개인,이용금액_개인,이용건수_법인,이용금액_법인
제주,20200403,205.0,6862.0,185.0,5651.0,20.0,1211.0
제주,20200404,203.0,6180.0,187.0,5474.0,16.0,706.0
제주,20200405,169.0,4860.0,157.0,4367.0,12.0,493.0
제주,20200406,197.0,6500.0,177.0,5346.0,20.0,1155.0
제주,20200407,194.0,6368.0,175.0,5187.0,19.0,1180.0
제주,20200408,196.0,6423.0,176.0,5311.0,20.0,1112.0
제주,20200409,192.0,6332.0,173.0,5186.0,19.0,1145.0
제주,20200410,202.0,6537.0,183.0,5377.0,20.0,1159.0
제주,20200411,186.0,5856.0,172.0,5205.0,14.0,650.0
제주,20200412,146.0,4254.0,135.0,3829.0,10.0,425.0
제주,20200413,197.0,6960.0,178.0,5838.0,19.0,1122.0
제주,20200414,205.0,7183.0,185.0,5994.0,20.0,1188.0
제주,20200415,196.0,5894.0,180.0,5229.0,15.0,665.0
제주,20200416,200.0,6982.0,181.0,5952.0,19.0,1030.0
제주,20200417,191.0,7230.0,173.0,6155.0,17.0,1076.0
제주,20200418,207.0,6429.0,192.0,5739.0,16.0,690.0
제주,20200419,142.0,4155.0,132.0,3777.0,10.0,378.0
제주,20200420,201.0,7393.0,182.0,6185.0,19.0,1209.0
제주,20200421,195.0,6847.0,176.0,5582.0,20.0,1265.0
제주,20200422,192.0,6749.0,173.0,5577.0,20.0,1172.0
제주,20200423,195.0,6702.0,176.0,5532.0,19.0,1170.0
제주,20200424,212.0,7345.0,192.0,6084.0,20.0,1261.0
제주,20200425,212.0,6590.0,197.0,5870.0,16.0,720.0
제주,20200426,186.0,5447.0,173.0,4905.0,13.0,543.0
제주,20200427,210.0,7326.0,189.0,5952.0,21.0,1374.0
제주,20200428,211.0,7403.0,190.0,5959.0,21.0,1444.0
제주,20200429,223.0,8574.0,201.0,6631.0,23.0,1943.0
제주,20200430,213.0,6741.0,196.0,5859.0,17.0,882.0
제주,20200501,217.0,6809.0,201.0,5940.0,16.0,868.0
제주,20200502,215.0,6846.0,200.0,6140.0,16.0,706.0
제주,20200503,184.0,5603.0,171.0,5053.0,12.0,550.0
제주,20200504,227.0,8114.0,207.0,6782.0,20.0,1332.0
제주,20200505,207.0,6363.0,192.0,5705.0,15.0,658.0
제주,20200506,217.0,7609.0,196.0,6284.0,21.0,1325.0
제주,20200507,217.0,7630.0,196.0,6305.0,21.0,1325.0
제주,20200508,225.0,8133.0,205.0,6740.0,20.0,1393.0
제주,20200509,198.0,6312.0,184.0,5646.0,14.0,666.0
제주,20200510,176.0,5168.0,164.0,4663.0,12.0,504.0
제주,20200511,213.0,7086.0,192.0,5819.0,21.0,1268.0
제주,20200512,207.0,6896.0,187.0,5655.0,21.0,1241.0
제주,20200513,217.0,7153.0,196.0,5850.0,21.0,1303.0
제주,20200514,221.0,7299.0,200.0,6086.0,20.0,1213.0
제주,20200515,217.0,7563.0,199.0,6436.0,18.0,1127.0
제주,20200516,225.0,7364.0,211.0,6729.0,14.0,636.0
제주,20200517,196.0,5907.0,185.0,5456.0,11.0,451.0
제주,20200518,218.0,7651.0,200.0,6542.0,18.0,1109.0
제주,20200519,221.0,8387.0,203.0,7192.0,18.0,1194.0
제주,20200520,231.0,9043.0,213.0,7853.0,19.0,1191.0
제주,20200521,228.0,8261.0,210.0,7127.0,18.0,1134.0
제주,20200522,234.0,8504.0,215.0,7246.0,19.0,1258.0
제주,20200523,240.0,7579.0,225.0,6895.0,14.0,684.0
제주,20200524,207.0,6121.0,196.0,5615.0,11.0,505.0
제주,20200525,227.0,7822.0,209.0,6676.0,18.0,1146.0
제주,20200526,225.0,7839.0,206.0,6439.0,19.0,1400.0
제주,20200527,223.0,7528.0,204.0,6280.0,19.0,1247.0
제주,20200528,223.0,7603.0,203.0,6257.0,20.0,1346.0
제주,20200529,232.0,8427.0,211.0,6743.0,21.0,1684.0
제주,20200530,226.0,7220.0,211.0,6413.0,15.0,807.0
제주,20200531,192.0,5812.0,180.0,5279.0,11.0,532.0
제주,20200601,223.0,7784.0,204.0,6473.0,20.0,1311.0
제주,20200602,223.0,7544.0,203.0,6136.0,20.0,1408.0
제주,20200603,216.0,7149.0,197.0,5926.0,20.0,1223.0
제주,20200604,223.0,7355.0,203.0,6028.0,20.0,1326.0
제주,20200605,233.0,7847.0,212.0,6486.0,21.0,1361.0
제주,20200606,229.0,6950.0,213.0,6221.0,16.0,729.0
제주,20200607,205.0,5877.0,192.0,5301.0,13.0,577.0
제주,20200608,233.0,7471.0,211.0,6134.0,21.0,1338.0
제주,20200609,226.0,7131.0,205.0,5856.0,21.0,1275.0
제주,20200610,218.0,7108.0,197.0,5844.0,20.0,1263.0
제주,20200611,221.0,7164.0,201.0,5801.0,20.0,1363.0
제주,20200612,220.0,7037.0,200.0,5781.0,20.0,1256.0
제주,20200613,209.0,6601.0,195.0,5896.0,15.0,705.0
제주,20200614,180.0,5230.0,168.0,4732.0,12.0,498.0
제주,20200615,226.0,7538.0,205.0,6283.0,21.0,1255.0
제주,20200616,226.0,8252.0,205.0,6925.0,21.0,1327.0
제주,20200617,203.0,7227.0,183.0,5973.0,20.0,1253.0
제주,20200618,198.0,6817.0,179.0,5632.0,18.0,1185.0
제주,20200619,227.0,7785.0,206.0,6434.0,21.0,1351.0
제주,20200620,236.0,7242.0,219.0,6416.0,18.0,825.0
제주,20200621,205.0,5856.0,191.0,5264.0,14.0,592.0
제주,20200622,229.0,7429.0,207.0,6149.0,22.0,1280.0
제주,20200623,226.0,7304.0,204.0,5940.0,22.0,1364.0
제주,20200624,192.0,6383.0,173.0,5114.0,19.0,1270.0
제주,20200625,202.0,6695.0,182.0,5370.0,20.0,1325.0
제주,20200626,231.0,7909.0,208.0,6356.0,23.0,1553.0
제주,20200627,217.0,6834.0,200.0,6035.0,17.0,799.0
제주,20200628,198.0,5827.0,184.0,5230.0,14.0,597.0
제주,20200629,190.0,6835.0,171.0,5295.0,19.0,1540.0
제주,20200630,216.0,8181.0,194.0,6200.0,22.0,1982.0
제주,20200701,220.0,7413.0,198.0,5957.0,22.0,1456.0
제주,20200702,219.0,7231.0,197.0,5865.0,22.0,1366.0
제주,20200703,203.0,7004.0,184.0,5732.0,20.0,1272.0
제주,20200704,220.0,6938.0,203.0,6123.0,17.0,815.0
제주,20200705,193.0,5681.0,180.0,5104.0,13.0,577.0
제주,20200706,208.0,6983.0,188.0,5728.0,20.0,1255.0
제주,20200707,199.0,6443.0,180.0,5273.0,19.0,1170.0
제주,20200708,222.0,7213.0,200.0,5845.0,22.0,1369.0
제주,20200709,217.0,7044.0,196.0,5694.0,22.0,1351.0
제주,20200710,223.0,7304.0,202.0,6007.0,21.0,1297.0
제주,20200711,233.0,7203.0,215.0,6364.0,18.0,839.0
제주,20200712,184.0,5382.0,172.0,4816.0,13.0,566.0
제주,20200713,209.0,6794.0,189.0,5551.0,20.0,1242.0
제주,20200714,218.0,7172.0,197.0,5789.0,21.0,1383.0
제주,20200715,226.0,7629.0,203.0,6179.0,22.0,1449.0
제주,20200716,233.0,8486.0,210.0,7052.0,23.0,1435.0
제주,20200717,234.0,8022.0,211.0,6715.0,23.0,1307.0
제주,20200718,223.0,6895.0,206.0,6110.0,17.0,786.0
제주,20200719,194.0,5462.0,181.0,4881.0,14.0,581.0
제주,20200720,224.0,7605.0,203.0,6329.0,21.0,1276.0
제주,20200721,221.0,7159.0,199.0,5871.0,22.0,1289.0
제주,20200722,221.0,7065.0,199.0,5745.0,22.0,1321.0
제주,20200723,206.0,6533.0,185.0,5325.0,20.0,1208.0
제주,20200724,220.0,7333.0,198.0,6014.0,21.0,1319.0
제주,20200725,230.0,6898.0,213.0,6068.0,18.0,830.0
제주,20200726,210.0,5892.0,195.0,5277.0,15.0,614.0
제주,20200727,198.0,6442.0,179.0,5235.0,19.0,1206.0
제주,20200728,228.0,7368.0,205.0,5931.0,22.0,1437.0
제주,20200729,233.0,7502.0,209.0,6017.0,23.0,1485.0
제주,20200730,234.0,7537.0,210.0,6019.0,24.0,1518.0
제주,20200731,247.0,8752.0,223.0,6727.0,25.0,2024.0
제주,20200801,249.0,7664.0,230.0,6758.0,20.0,906.0
제주,20200802,217.0,6247.0,201.0,5577.0,15.0,669.0
제주,20200803,250.0,8150.0,226.0,6663.0,24.0,1488.0
제주,20200804,246.0,7927.0,222.0,6431.0,24.0,1496.0
제주,20200805,239.0,7849.0,216.0,6483.0,23.0,1365.0
제주,20200806,237.0,7696.0,215.0,6247.0,23.0,1449.0
제주,20200807,248.0,8183.0,224.0,6673.0,24.0,1510.0
제주,20200808,250.0,7775.0,231.0,6860.0,19.0,914.0
제주,20200809,220.0,6317.0,205.0,5639.0,16.0,678.0
제주,20200810,231.0,7467.0,209.0,6091.0,21.0,1376.0
제주,20200811,232.0,7518.0,210.0,6181.0,22.0,1336.0
제주,20200812,245.0,7921.0,221.0,6453.0,24.0,1469.0
제주,20200813,248.0,7822.0,224.0,6361.0,24.0,1461.0
제주,20200814,258.0,8408.0,233.0,6924.0,25.0,1484.0
제주,20200815,250.0,7739.0,230.0,6816.0,19.0,923.0
제주,20200816,225.0,6574.0,209.0,5853.0,16.0,720.0
제주,20200817,241.0,7211.0,222.0,6321.0,20.0,890.0
제주,20200818,257.0,8551.0,232.0,7089.0,24.0,1461.0
제주,20200819,253.0,9043.0,229.0,7553.0,24.0,1490.0
