ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,블루샥제주동홍점(Blu shaak),서귀포시,동홍동,서귀포시내,음료,커피,0.14,1.37,0.01,0.11,0.03,0.56,-0.08,11330,다나13a73b
202312,순대이야기,서귀포시,동홍동,서귀포시내,한식,순대,4.03,10.77,0.12,0.74,0.75,4.26,0.53,166,다나13a75a
202312,파파엔도터 (papa&daughter),서귀포시,정방동,서귀포시내,한식,단품요리 전문,0.16,0.48,0,0.03,0.03,0.19,-0.05,9797,다나13a73a
202312,속에천불청송얼음막걸리동홍점,서귀포시,동홍동,서귀포시내,한식,가정식,1.57,2.11,0.03,0.09,0.27,0.78,-0.12,12170,다나13b74a
202312,배스킨라빈스제주화북점,제주시,화북동,제주시내,간식,아이스크림/빙수,0.8,3.89,0.02,0.12,0.14,1.41,-0.31,14104,다다13b03a
202312,카페폴린,서귀포시,동홍동,서귀포시내,음료,커피,0.44,1.83,0.04,0.5,0.11,1.05,-0.27,13910,다나13b73a
202312,투다리파워점,제주시,화북동,제주시내,주점및주류판매,꼬치구이,0.44,0.56,0,0.02,0.07,0.2,0.08,2558,다다14a02b
202312,은희네해장국삼화점,제주시,화북동,제주시내,한식,해장국,1.37,4.33,0.05,0.32,0.27,1.73,0.04,3873,다다14a02b
202312,인생극장 제주삼화점,제주시,화북동,제주시내,한식,단품요리 전문,0.57,0.44,0,0,0.09,0.15,0.08,2559,다다14a03a
202312,미루네닭숯불구이 삼화점,제주시,삼양동,제주시내,한식,가정식,1.68,1.31,0.01,0.02,0.27,0.45,0.25,687,다다14b03a
202312,동방명품치킨,제주시,봉개동,제주시내,패스트푸드,치킨,0.19,0.44,0.01,0.09,0.04,0.23,-0.07,10778,다다16a00a
202312,centro,서귀포시,정방동,서귀포시내,양식,양식,0.75,0.91,0.11,0.36,0.23,0.63,-0.02,8280,다나13a73a
202312,김경옥닭발,제주시,삼양동,제주시내,한식,치킨,0.17,0.24,0,0,0.03,0.08,0,6137,다다14b03b
202312,교동짬뽕제주,제주시,이도1동,제주시내,아시아음식,중식,1.22,3.46,0.04,0.27,0.23,1.4,-0.25,13768,다다10a01b
202312,도레구떼(Dorer gouter),제주시,건입동,제주시내,간식,베이커리,0.03,0.28,0,0.05,0.01,0.13,-0.09,11472,다다10a02b
202312,이도국밥,제주시,이도2동,제주시내,한식,국밥,1.19,3.85,0.05,0.36,0.24,1.61,0.11,2023,다다10b00a
202312,슬기식당,제주시,건입동,제주시내,한식,가정식,0.88,2.74,0.04,0.21,0.18,1.1,0.43,266,다다10b02b
202312,정든마을,제주시,이도2동,제주시내,한식,단품요리 전문,0.4,0.28,0.02,0.03,0.08,0.12,0,6138,다다10b00b
202312,거마가든,제주시,아라동,제주시내,한식,고기,0.15,0.44,0.02,0.03,0.05,0.17,0.06,3227,다나12a99a
202312,고향순대,제주시,화북동,제주시내,한식,순대,0.2,0.52,0,0,0.03,0.17,0.1,2073,다다13a03b
202312,국수나무서귀포점,서귀포시,동홍동,서귀포시내,한식,면류,0.52,1.95,0,0.05,0.09,0.69,0.01,5422,다나13b74a
202312,일원신,제주시,삼양동,제주시내,한식,가정식,0.06,0.08,0.01,0.03,0.02,0.05,0.01,5910,다다14a04a
202312,바른먹거리양식,제주시,봉개동,제주시내,양식,양식,0.07,0.36,0.01,0.03,0.02,0.15,-0.15,12738,다다15b00a
202312,피자헛 제주 이도점,제주시,이도2동,제주시내,피자.치킨.햄버거,피자,0.71,1.51,0.01,0.06,0.12,0.56,-0.08,11331,다다10b00b
202312,제주막창이땡길때,제주시,아라동,제주시내,한식,막창,0.52,0.56,0,0,0.08,0.19,0.06,3228,다다11a00a
202312,백년가야밀면,서귀포시,정방동,서귀포시내,한식,면류,0.32,0.6,0.04,0.27,0.09,0.44,0.08,2560,다나13a73a
202312,소보리당로222,서귀포시,예래동,서귀포시내,한식,단품요리 전문,0.04,0.12,0.08,0.51,0.08,0.49,-0.27,13911,나나95b75a
202312,라이프워크서해안로지점,제주시,도두동,제주시내,음료,커피,0.02,0.12,0.04,0.51,0.04,0.49,-0.05,9798,다다04a02a
202312,섬횟집,제주시,도두동,제주시내,한식,회,2.93,0.12,0.2,0.38,0.65,0.37,-0.16,12930,다다04a02a
202312,이운 소나이국수,제주시,노형동,제주시내,한식,가정식,0.52,1.87,0.06,0.42,0.14,1,-0.26,13838,다다04b00a
