,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
36,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,일식.회,일식,애월연어시청점,제주시,이도2동,제주 제주시 중앙로 266,33.49618617,126.5318156,1606,1.5999999999999999,0.060000000000000005,0.21,1.750732551589977
32,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,일식.회,일식,스시고,제주시,아라동,제주 제주시 신설로11길 7,33.4918815,126.5442187,1549,6.33,0.14,0.7599999999999999,2.734382498966634
50,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,카페,커피,투썸플레이스제주이도점,제주시,이도2동,제주 제주시 중앙로 286,33.49475719,126.5329588,1372,10.38,0.28,1.26,1.9356024937033547
1,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,면류,갱이네보말칼국수,제주시,이도2동,제주 제주시 도남로 88,33.49268825,126.5280332,1323,9.59,1.04,1.8599999999999999,2.060259841708522
49,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,진식당,제주시,이도2동,제주 제주시 도남로7길 30,33.49767097,126.5270234,1305,0.78,0.0,0.08,1.5002185828648231
54,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,분식,분식,해바라기분식,제주시,이도2동,제주 제주시 중앙로 214,33.50023949,126.5292183,1268,7.57,0.16000000000000003,0.7999999999999999,1.250077395649774
39,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,오롯,제주시,아라동,제주 제주시 신설로11길 2-10,33.49099271,126.5444132,1225,10.680000000000001,1.04,1.95,2.8233616014093013
46,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,제주바다에,제주시,아라동,제주 제주시 연북로 550,33.48591508,126.5384985,1199,1.65,0.05,0.22999999999999998,3.0385249704589974
51,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,베이커리.디저트,베이커리,파리바게뜨제주법원점,제주시,이도2동,제주 제주시 구남로 56,33.4912604,126.5358559,1071,15.0,0.28,1.71,2.395621713631313
17,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,바바램,제주시,이도2동,제주 제주시 도남로 21,33.49819517,126.5256156,921,6.380000000000001,0.17,0.8400000000000001,1.4382500059156778
3,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,해장국,김영미재첩해장국,제주시,이도2동,제주 제주시 구남로8길 4-17,33.49002044,126.5347752,685,12.6,0.22000000000000003,1.31,2.488284961935494
35,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,안다미로늘봄,제주시,이도2동,제주 제주시 구남로6길 45,33.487017986171,126.537090477531,655,60.29,0.30000000000000004,8.379999999999999,2.8759566955428184
29,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,해장국,순이네해장국,제주시,이도2동,제주 제주시 오복4길 8,33.4954191,126.5363265,614,2.31,0.06,0.24,1.998097815585135
40,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,용꽈배기,제주시,이도2동,제주 제주시 이도2동 1776-4,33.49991544,126.5269854,584,3.4899999999999998,0.14,0.44999999999999996,1.2511171109325259
