Number of Clusters,Inertia
1,484.8211669921875
2,277.26531982421875
3,130.37371826171875
4,68.98529815673828
5,49.17729187011719
6,39.045616149902344
7,31.02897071838379
8,25.521766662597656
9,22.29109001159668
10,19.33123779296875
