숙박업명,시도명,구군명,주변숙박업목록내용,1Q Average Price,2Q Average Price,Number of rooms,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,Number of Accommodations Nearby,구군명_서귀포시,구군명_제주시
어반아일랜드호텔,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",67153,86798,70,1,1,1,1,0,0,0,0,0,1,0,16,0,1
호텔 시리우스,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",118831,134684,280,1,1,1,1,1,1,0,0,1,0,0,14,0,1
그랜드하얏트 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",450143,462907,750,1,1,1,0,1,1,1,1,1,1,0,16,0,1
다인리조트,제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",114866,123583,91,1,1,1,1,0,1,0,0,1,1,0,2,0,1
올레리조트,제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 수앤수리조트(구.수앤수가족호텔)",240625,240786,53,1,1,1,1,0,1,1,0,1,1,0,3,0,1
베스트웨스턴 제주호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",92752,117626,363,1,1,1,1,1,0,0,0,1,1,0,17,0,1
에코그린리조트(구.에코패밀리호텔),제주,제주시,없음,337526,374804,104,1,1,1,1,0,1,1,1,1,1,0,0,0,1
수앤수리조트(구.수앤수가족호텔),제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 올레리조트",112439,113305,40,1,1,1,1,0,1,0,0,1,1,0,3,0,1
그린트리인 서귀포(그랜드밀리언스),제주,서귀포시,"이스턴 호텔 제주, 신신호텔 제주월드컵",45233,56642,305,1,1,1,0,0,0,0,0,1,1,0,2,1,0
더베스트제주성산,제주,서귀포시,"브라운 스위트 제주, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",76811,83605,273,1,1,1,0,1,1,0,0,1,1,0,4,1,0
