숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1Q Average Price_standard,2Q Average Price_standard,Number of rooms_standard,Number of Accommodations Nearby_standard
오션 스위츠 제주 호텔,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락",127521,142130,350,1,1,1,1,1,0,0,0,1,0,0,4,0,1,11.75604418,11.86450445,5.860786223,1.609437912,0.237421314,0.246334478,0.640736017,0,0.0697483237,0.0882956634,1.040623129,0.137443936
호텔 앨리스 앤 트렁크,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",103676,134091,80,1,0,1,0,0,0,0,0,1,1,0,19,0,1,11.54903558,11.80628141,4.394449155,2.995732274,-0.000765255874,0.178652257,-0.381448947,0.568232888,-0.278394993,-0.00790993493,-0.458965425,1.34145713
호텔 레오 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",113133,115861,95,1,1,1,1,0,0,0,0,1,1,0,22,0,1,11.63632824,11.66015511,4.564348191,3.135494216,0.0996747212,0.0087855952,-0.263012167,0.625520383,-0.131587779,-0.249363652,-0.285213662,1.462842045
코델리아s 호텔 앤 리조트,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 골든튤립제주성산, 플레이스 캠프 제주",54557,52946,78,1,0,1,0,0,1,0,0,1,1,0,4,1,0,10.90701963,10.87704669,4.369447852,1.609437912,-0.739476466,-0.901550249,-0.398877379,0,-1.358125775,-1.543343128,-0.484533671,0.137443936
신신호텔 서귀포점,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",78539,79890,222,1,1,1,1,0,0,0,0,1,1,0,10,1,0,11.27136333,11.28841848,5.407171771,2.397895273,-0.320258261,-0.423345085,0.324520951,0.323183456,-0.74537915,-0.863607543,0.576722261,0.822228562
파밀리아 호텔,제주,서귀포시,없음,84028,99966,28,1,1,1,1,0,0,0,0,1,1,0,0,1,0,11.33891726,11.51259541,3.36729583,0,-0.242529904,-0.162747334,-1.097478506,-0.659697953,-0.631768178,-0.493185855,-1.509411057,-1.260372095
돔베리조트,제주,서귀포시,제주 골드원 호텔 스위트,104687,101668,20,1,0,1,1,0,0,0,0,0,0,0,1,1,0,11.55873978,11.52947772,3.044522438,0.693147181,0.0104005139,-0.14312225,-1.322484144,-0.375581509,-0.262074644,-0.465290153,-1.839503841,-0.658365498
제주 일레인 호텔,제주,서귀포시,없음,91996,74121,42,1,0,1,1,0,0,0,0,0,1,0,0,1,0,11.42951125,11.21346766,3.761200116,0,-0.138291377,-0.510472765,-0.822887454,-0.659697953,-0.479408845,-0.987453517,-1.106574376,-1.260372095
제주 웨스턴그레이스 강정,제주,서귀포시,빠레브 호텔 제주,63105,62984,300,1,0,1,0,0,0,0,0,0,0,0,1,1,0,11.05257113,11.05065188,5.707110265,0.693147181,-0.572003176,-0.699740354,0.53360836,-0.375581509,-1.113339904,-1.256484312,0.883462328,-0.658365498
중문 썬라이즈호텔,제주,서귀포시,베니키아 중문 호텔,69272,76510,29,1,0,1,0,0,1,0,0,0,0,0,1,1,0,11.1458105,11.2451898,3.401197382,0.693147181,-0.464720846,-0.473596902,-1.073845702,-0.375581509,-0.956531625,-0.935037027,-1.474740735,-0.658365498
중문 리조트,제주,서귀포시,없음,84982,83498,48,1,1,1,0,0,1,0,0,1,0,0,0,1,0,11.35020652,11.33258993,3.891820298,0,-0.229540348,-0.371997336,-0.731832,-0.659697953,-0.612782106,-0.790620267,-0.972992177,-1.260372095
켄싱턴리조트 서귀포,제주,서귀포시,없음,213684,222314,246,1,1,1,1,0,1,0,0,1,0,0,0,1,0,12.27225825,12.31185057,5.509388337,0,0.831383388,0.766358534,0.395776216,-0.659697953,0.937907796,0.827473913,0.681256746,-1.260372095
금호 제주 리조트,제주,서귀포시,없음,204588,196893,242,1,1,1,1,0,1,1,1,1,0,0,0,1,0,12.22875837,12.19042079,5.493061443,0,0.781331907,0.625200706,0.384394723,-0.659697953,0.864750486,0.626827818,0.664559615,-1.260372095
켄싱턴리조트 제주한림,제주,제주시,없음,222088,238051,44,1,1,1,1,0,0,0,0,0,0,0,0,0,1,12.31083348,12.38024442,3.80666249,0,0.875768513,0.845863958,-0.79119559,-0.659697953,1.002782926,0.940485377,-1.060081071,-1.260372095
켄싱턴리조트 제주중문,제주,서귀포시,없음,270408,309145,52,1,0,1,1,0,1,0,0,0,0,1,0,1,0,12.50769091,12.64156894,3.970291914,0,1.102275018,1.149644473,-0.677129363,-0.659697953,1.333854178,1.37228838,-0.892741095,-1.260372095
소노캄 제주,제주,서귀포시,없음,250237,246118,331,1,1,1,1,0,1,1,1,1,0,0,0,1,0,12.43016774,12.41357044,5.805134969,0,1.013075941,0.88460428,0.601941474,-0.659697953,1.203477127,0.995552066,0.983709896,-1.260372095
썬 앤 문 리조트,제주,서귀포시,없음,237473,236643,20,1,0,1,1,0,1,1,1,1,1,1,0,1,0,12.37781342,12.37431218,3.044522438,0,0.952836434,0.838967944,-1.322484144,-0.659697953,1.115428578,0.93068317,-1.839503841,-1.260372095
와이리조트 제주,제주,서귀포시,없음,192030,197789,32,1,1,1,1,0,1,1,1,1,1,1,0,1,0,12.1654121,12.19496114,3.496507561,0,0.708444931,0.630478701,-1.007404885,-0.659697953,0.758215875,0.634330123,-1.377269248,-1.260372095
더 그랜드 섬오름,제주,서귀포시,없음,166830,207742,132,1,1,1,1,0,1,0,1,1,1,0,0,1,0,12.0247366,12.24405702,4.890349128,0,0.546582028,0.687550922,-0.0357566043,-0.659697953,0.521630378,0.71545434,0.0481798559,-1.260372095
호텔 스카이파크 제주 1호점,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",80098,93323,144,1,1,0,0,1,0,0,0,1,1,0,21,0,1,11.29101865,11.44383259,4.976733742,3.091042453,-0.297642614,-0.242681684,0.0244621924,0.6072999,-0.712323189,-0.606807007,0.136523376,1.424235159
파르나스 호텔 제주,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",504225,601006,307,1,1,1,1,1,1,1,1,1,1,1,4,1,0,13.13077986,13.30636186,5.730099783,1.609437912,1.819208609,1.922442743,0.549634375,0,2.381753893,2.470767701,0.90697317,0.137443936
한림 리조트,제주,제주시,르메인 호텔 협재,101328,131943,93,1,1,1,1,0,1,0,0,1,0,0,1,0,1,11.52612793,11.79013287,4.543294782,0.693147181,-0.0271230697,0.159880148,-0.277688519,-0.375581509,-0.316920661,-0.0345931894,-0.30674449,-0.658365498
플레이스 캠프 제주,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 골든튤립제주성산, 코델리아s 호텔 앤 리조트",100822,95485,177,1,0,1,1,0,0,0,0,1,0,0,4,1,0,11.52112178,11.46673492,5.18178355,1.609437912,-0.0328831993,-0.216058535,0.167402608,0,-0.325339904,-0.568964041,0.346223009,0.137443936
호텔 스카브로,제주,서귀포시,없음,206546,201781,40,1,0,1,1,0,1,1,1,0,1,0,0,1,0,12.23828327,12.21494319,3.713572067,0,0.792291371,0.653707122,-0.856089012,-0.659697953,0.880769292,0.667347717,-1.155282465,-1.260372095
카사로마 호텔,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",125359,162639,100,1,1,1,1,1,1,0,0,1,1,0,10,1,0,11.73894488,11.99929445,4.615120517,2.397895273,0.217746654,0.403023089,-0.227618731,0.323183456,0.0409910295,0.311017693,-0.233289995,0.822228562
어반스테이 제주연동,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 벤티모 호텔 앤 레지던스 제주",84609,104162,67,1,0,1,0,0,0,0,0,0,0,0,23,0,1,11.34580774,11.55371226,4.219507705,3.17805383,-0.234601629,-0.114950452,-0.503400798,0.642965288,-0.620179884,-0.42524589,-0.637873945,1.499805578
벤티모 호텔 앤 레지던스 제주,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 글로스터 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",105321,112950,89,1,0,1,1,1,0,0,0,0,0,0,12,0,1,11.5647776,11.63470938,4.49980967,2.564949357,0.0173477086,-0.0207941679,-0.308002031,0.39165782,-0.251920337,-0.291409241,-0.351215695,0.967317028
파크 선샤인 제주,제주,서귀포시,"오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 헤이, 서귀포, 신신호텔 천지연",117216,120502,105,1,1,1,1,0,0,0,0,1,1,1,6,1,0,11.6717822,11.69942993,4.663439094,1.945910149,0.140468472,0.0544411862,-0.193935805,0.137917744,-0.0719619497,-0.184467386,-0.183875718,0.429674089
제주 노블피아 호텔,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",80023,81338,121,1,1,0,0,0,0,0,0,0,0,0,9,1,0,11.29008187,11.30638089,4.804021045,2.302585093,-0.298720484,-0.402464429,-0.0959359933,0.284116444,-0.713898648,-0.833927134,-0.0401058519,0.739450533
호텔 화인,제주,서귀포시,"오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포",175886,215425,1,1,0,1,1,0,0,0,0,0,0,0,6,1,0,12.07759702,12.28037274,0.693147181,1.945910149,0.607403858,0.729766668,-2.96163007,0.137917744,0.610530074,0.775461104,-4.244200208,0.429674089
"헤이, 서귀포",제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 신신호텔 천지연",55185,62954,139,1,0,1,1,0,0,0,0,1,1,0,9,1,0,10.91846458,11.05017546,4.941642423,2.302585093,-0.726307779,-0.700294172,0,0.284116444,-1.338877878,-1.257271527,0.100636306,0.739450533
신신호텔 천지연,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 헤이, 서귀포",67509,75679,312,1,1,1,1,0,0,0,0,1,1,0,9,1,0,11.12003101,11.2342692,5.746203191,2.302585093,-0.494383029,-0.486291709,0.560860076,0.284116444,-0.999887095,-0.953081819,0.923441747,0.739450533
신신호텔 제주월드컵,제주,서귀포시,"그린트리인 서귀포(그랜드밀리언스), 이스턴 호텔 제주",61475,62272,243,1,1,1,1,1,0,0,0,1,1,0,2,1,0,11.02640213,11.03928322,5.497168225,1.098612289,-0.602113537,-0.712956017,0.387257565,-0.209384044,-1.15735045,-1.275269463,0.668759525,-0.306214213
호텔 케니 모슬포,제주,서귀포시,없음,66026,68079,189,1,0,1,1,0,0,0,0,1,0,0,0,1,0,11.09781903,11.12843876,5.247024072,0,-0.519940405,-0.609315855,0.212881838,-0.659697953,-1.037242811,-1.127952137,0.412942962,-1.260372095
담모라 리조트,제주,서귀포시,없음,67731,80255,58,1,1,0,0,0,1,0,0,1,0,0,0,1,0,11.12331402,11.2929768,4.077537444,0,-0.490605562,-0.418046199,-0.602368402,-0.659697953,-0.994365794,-0.856075543,-0.783063604,-1.260372095
산방산 호텔,제주,서귀포시,없음,103814,131314,67,1,1,1,0,0,0,0,0,1,1,0,0,1,0,11.55036575,11.7853543,4.219507705,0,0.000765255874,0.154325226,-0.503400798,-0.659697953,-0.276157934,-0.0424891276,-0.637873945,-1.260372095
블룸 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주",114237,169389,70,1,1,1,0,1,1,0,0,1,1,1,5,1,0,11.64603927,12.03995903,4.262679877,1.791759469,0.110848354,0.450294225,-0.473305436,0.0747324,-0.115255937,0.378210345,-0.593722777,0.295792384
르메인 호텔 협재,제주,제주시,한림 리조트,165747,168519,16,1,0,1,0,0,0,1,1,0,0,1,1,0,1,12.01822384,12.03480972,2.833213344,0.693147181,0.539088367,0.444308332,-1.469787914,-0.375581509,0.510677334,0.369701813,-2.055604698,-0.658365498
