Number of Clusters,Inertia
1,450.9193061161114
2,263.5013723754844
3,202.43282886628288
4,160.42167093834024
5,130.2440591178568
6,113.04000707040021
7,96.43396038439911
8,80.80573083817852
9,73.17082143012313
10,65.77697419969866
