숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1분기평균가격_standard,2분기평균가격_standard,객실수_standard,주변숙박업소수_standard,UMAP1,UMAP2,UMAP3,kmeans_cluster
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,0,1,0,1,0,0,0,0,0,1,0,23,0.0,1.0,11.481486396134848,11.521706795977567,4.219507705176107,3.1780538303479458,-0.0784881490243102,-0.15215567102125863,-0.5034007976643716,0.6429652875208123,-0.391997980526121,-0.47813053732182503,-0.6378739452261609,1.4998055779521389,12.9503975,5.9212937,12.731452,1
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,1,1,1,1,1,1,1,1,1,1,0,23,0.0,1.0,11.982347675224695,12.123223503501105,5.545177444479562,3.1780538303479458,0.4978088210646558,0.5470862340897931,0.42072483719906156,0.6429652875208123,0.45034144687650046,0.5157934956308768,0.7178574279723148,1.4998055779521389,13.195396,5.458849,10.374161,5
그라벨호텔,제주,제주시,없음,137810,157521,139,1,1,1,1,0,1,0,0,1,1,0,0,0.0,1.0,11.833638460210326,11.96732041003281,4.941642422609304,0.0,0.326702222062188,0.3658544000842333,0.0,-0.6596979530153685,0.2002449825374661,0.2581849712595969,0.1006363059125628,-1.260372094551657,11.611468,5.925192,10.024059,3
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,1,1,1,1,0,0,0,0,1,1,0,9,0.0,1.0,11.654181942145584,11.592882015086156,4.330733340286331,2.302585092994046,0.12021740891919745,-0.06941699529754411,-0.4258653017471673,0.284116443772722,-0.10156173916602201,-0.36052322909932993,-0.5241260949492985,0.739450533382374,12.644842,6.0480685,12.031427,1
아스타호텔,제주,제주시,알리바호텔,96779,105350,130,1,1,1,1,1,0,0,1,1,1,0,1,0.0,1.0,11.48019564034731,11.565052911356245,4.875197323201151,0.6931471805599453,-0.07997330805044787,-0.10176734445035503,-0.04631894193073023,-0.3755815092426466,-0.39416875023099296,-0.4065070141991135,0.03268445999484912,-0.6583654975359442,11.721562,5.62008,10.636838,3
신라스테이제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",130910,152108,301,1,1,1,1,1,0,0,0,1,1,0,23,0.0,1.0,11.78227298198081,11.932352648094447,5.71042701737487,3.1780538303479458,0.26760048929372166,0.325205613160399,0.535920471477495,0.6429652875208123,0.11385945160016595,0.20040553049859733,0.8868542932847344,1.4998055779521389,13.353162,5.724217,11.142491,5
베니키아호텔제주(구. 뉴베니키아호텔제주),제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",96537,88096,188,1,1,1,1,0,1,0,0,1,1,0,2,0.0,1.0,11.477691992198562,11.386193759131087,5.241747015059643,1.0986122886681096,-0.08285403551437598,-0.30968478512023523,0.20920319654374891,-0.2093840437973535,-0.39837934034062616,-0.7020472837986467,0.4075462391811936,-0.3062142130949996,11.719599,6.1498656,10.677604,3
호텔더원,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 어반아일랜드호텔, 그랜드하얏트 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",80969,102705,180,1,1,1,1,1,0,0,0,1,1,0,17,0.0,1.0,11.30183399468016,11.539625816800184,5.198497031265826,2.8903717578961645,-0.2851983479354353,-0.13132544286464287,0.17905359174678462,0.5250463091933834,-0.6941341353669129,-0.4485218078886822,0.3633154943876891,1.2499502653773704,13.147498,5.8591814,11.553167,5
탐라스테이,제주,제주시,없음,103197,133900,116,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,11.544404751996847,11.804855999911272,4.762173934797756,0.0,-0.006093537262467323,0.17699526745293842,-0.12510765337675264,-0.6596979530153685,-0.2861830292361778,-0.01026523087042848,-0.08290191044172002,-1.260372094551657,10.994903,5.956374,10.058138,3
어반아일랜드호텔,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",67153,86798,70,1,1,1,1,0,0,0,0,0,1,0,16,0.0,1.0,11.114743768308323,11.37135037984475,4.2626798770413155,2.833213344056216,-0.500466597034819,-0.3269396887341265,-0.4733054356367736,0.5016174534938236,-1.0087790894369424,-0.726573936538953,-0.5937227768683971,1.2003075009376363,12.987945,6.0286303,12.671317,1
