PC1,PC2,PC3,숙박업명
2.221834739398112,-0.8170847288119596,-0.24342173735533512,히든 클리프 호텔 앤 네이처
1.8273765046775687,-0.14684922313410928,0.33248531082462407,스위트 호텔 제주
3.4980225184215943,-1.4104358874001743,-0.04534662996519816,제주 신라 호텔
2.9594980406732936,-2.545303468501095,1.048003703551357,롯데호텔 제주
2.501590200722219,0.6597423884378422,-0.4908210616513324,WE 호텔 제주
3.46883346822032,-1.0231987728654557,0.2832024378521844,그랜드 조선 제주
-1.4495294043418012,1.3545972803545459,-0.6318253914771308,메이더호텔
1.4242188552748236,-1.4142566728610952,-0.1258941994157611,라마다프라자제주호텔
-0.7010454742080869,0.6328175316556706,-0.02342336917720471,오션그랜드호텔
-1.5497674013397766,0.161356462194278,1.655348180882486,엠버시티호텔(구.아이비호텔)
-1.3415329755108816,-0.5210001380600028,1.564769569888986,엠버호텔
0.7604560664053207,-1.8892732754917592,0.7342940119542529,롯데시티호텔 제주
0.5761398037173961,0.47757475686147854,-0.5133010367636183,그라벨호텔
-0.7246214157277823,-0.2569010511536753,0.8510659146935156,아이진호텔
-0.2054633948327292,0.011916496300488591,-0.3447393141618033,아스타호텔
-0.2365844677149903,-1.944751534895458,0.5880290162761963,신라스테이제주
-0.5980702197621032,-0.21202842560110838,-0.5033557241372257,베니키아호텔제주(구. 뉴베니키아호텔제주)
-1.0961312891411061,-1.3399912810752395,0.44548589013768974,호텔더원
-0.4443675374137274,1.027214484385697,-0.016286793197677566,탐라스테이
-1.712556035367554,-0.3074136838090663,1.1003486214947402,어반아일랜드호텔
-0.211696420355379,-1.4798375637770136,0.3123555238784653,호텔 시리우스
2.82910863331239,-2.633655399086397,0.5964135188686464,그랜드하얏트 제주
-0.1212943070715491,0.24224287741982914,0.1108441218893095,다인리조트
1.4057256569209295,0.3062956689902376,1.0807885770500083,올레리조트
-0.776829542467916,-1.8650972278851348,0.12432986783648681,베스트웨스턴 제주호텔
2.7653526023739867,0.46086015553933096,0.2932195313533505,에코그린리조트(구.에코패밀리호텔)
-0.34276870961944317,0.6780425955737838,0.6930901162483329,수앤수리조트(구.수앤수가족호텔)
-1.9420177286892157,-0.08118297334816663,-1.739723528407695,그린트리인 서귀포(그랜드밀리언스)
-0.8022967434349649,-0.5388103740038448,-1.2223798644788664,더베스트제주성산
-1.5149617886441415,-0.5786648258497666,-0.7768838757224686,골든데이지호텔서귀포오션
-1.624330521091357,-0.03017870452033708,-1.3769113788421268,이스턴 호텔 제주
0.04857353347702887,-0.349412258187615,-1.1771423217035282,라마다제주시티
0.2131947923679851,-0.4850915756756915,-0.5464014865412935,라마다제주함덕
1.4607795580177736,-1.417103287517613,-0.11331277145909226,라마다프라자제주
-0.9245300179827168,-1.3351610440261166,0.5354503805241713,신신호텔 제주공항
-0.41852428171281614,-0.9070739765249178,-0.49736881203144423,제주 리젠트마린 더 블루
-0.9142513488112953,-1.85110142299389,0.07622575165227054,베스트웨스턴 제주
-0.8064342420896058,0.0010308171552837185,-0.4374136434833615,브라운 스위트 제주
-1.0899783472911693,-1.5072923580975568,0.5632063888057353,제주 센트럴 시티
-0.4000049309259734,-0.3429519452031102,-0.9674371684721366,골든튤립제주성산
-1.0357856089689268,-0.6942549382008124,-0.33795402396914365,오션팰리스
-0.17962686738840508,0.6410098006465921,-1.4395230097668847,코업시티성산
-1.1033697590626677,-1.8799552062050036,-0.019106451301377513,글로스터 제주
-1.63012863419407,-1.432083427124591,0.3599746412401341,호텔위드제주
-0.3696841385972704,-1.1547648014258682,-0.5137731888738627,휘슬락
-2.201815961400984,-0.6957726324976043,-1.2608171114769406,호텔 케니 서귀포
2.8204361406699032,1.402523027852802,1.4629194122263174,엠버리조트
-1.9810904992667477,1.6413445097387165,0.543447012466663,알리바호텔
-1.9069992897487087,0.2661056990860332,1.331518806146379,노형호텔
-1.9248274805390015,-0.04766066114475541,1.4464861386634358,호텔 위드스테이 제주
-2.1529470947751483,-0.3522860319255675,1.2113425152411488,위드시티호텔
-1.7422338173566665,-1.3968264590970494,0.6082723170966382,아시아호텔 제주
3.469067100749549,-0.5351584703536157,-1.146126913482637,해비치 호텔 & 리조트
3.4295471589461473,0.009230009290315224,-0.77493069559385,휘닉스 제주 섭지코지
-0.5634160794877808,1.3040141421973268,-0.30394386580437527,베니키아 중문 호텔
0.5012732201780028,-0.028399682186629055,-1.0617112524876968,빠레브 호텔 제주
1.8762411299983246,0.8305918395636381,0.2410610253459435,제주 골드원 호텔 스위트
2.8075709458347307,0.6740547094184565,-0.2942040267745893,호텔 토스카나
-0.03067112636975537,-1.0873551607358116,-0.20375779345779982,오션 스위츠 제주 호텔
-0.9063087475740152,-0.5169747964731806,1.2818703287525268,호텔 앨리스 앤 트렁크
-0.8425100694760124,-0.8698332239386039,1.1269523768153777,호텔 레오 제주
-1.8848172620744759,0.7524791468311621,-0.6147609145869783,코델리아s 호텔 앤 리조트
-1.2608013527248279,-0.6704672166314007,-0.5831111296756257,신신호텔 서귀포점
-0.566361683636902,2.0108900671609216,-0.40308520763105393,파밀리아 호텔
-0.7053439142494812,2.220336043381564,0.6379433316478029,돔베리조트
-0.9128568498520268,2.0020363408835395,-0.3625400999202836,제주 일레인 호텔
