Number of Clusters,Silhouette Score
2,0.41134109432729327
3,0.30964553719473226
4,0.3079302443322074
5,0.30992970895779753
6,0.29135101016233134
7,0.30180110827757894
8,0.2621522682380204
9,0.2530574381336856
10,0.2305324714919478
