분석년월,중분류명,외지인매출금액비율
2021-01,간식,0.0584037558685446
2021-01,부페,0.024
2021-01,아시아음식,0.08516499282639885
2021-01,양식,0.08762942779291553
2021-01,음료,0.052971342383107085
2021-01,주점 및 주류판매,0.022795698924731184
2021-01,패스트푸드,0.045137362637362635
2021-01,한식,0.06497434777862679
2021-02,간식,0.0552894438138479
2021-02,부페,0.02
2021-02,아시아음식,0.08005540166204986
2021-02,양식,0.09767857142857142
2021-02,음료,0.05382102272727273
2021-02,주점 및 주류판매,0.027451612903225807
2021-02,패스트푸드,0.03643537414965987
2021-02,한식,0.0696278825995807
2021-03,간식,0.04552036199095023
2021-03,부페,0.022500000000000003
2021-03,아시아음식,0.0676747311827957
2021-03,양식,0.08594132029339853
2021-03,음료,0.04728767123287671
2021-03,주점 및 주류판매,0.023738317757009346
2021-03,패스트푸드,0.026612466124661248
2021-03,한식,0.059796867104598285
2021-04,간식,0.05716049382716049
2021-04,부페,0.03076923076923077
2021-04,아시아음식,0.0833641160949868
2021-04,양식,0.10310426540284359
2021-04,음료,0.05783422459893048
2021-04,주점 및 주류판매,0.029498432601880877
2021-04,패스트푸드,0.03192722371967655
2021-04,한식,0.07501592356687899
2021-05,간식,0.051361079865016875
2021-05,부페,0.023636363636363636
2021-05,아시아음식,0.07465699208443272
2021-05,양식,0.0964625850340136
2021-05,음료,0.052144736842105265
2021-05,주점및주류판매,0.025174603174603172
2021-05,패스트푸드,0.030873655913978493
2021-05,한식,0.06616789396170838
2021-06,간식,0.05330396475770925
2021-06,부페,0.02076923076923077
2021-06,아시아음식,0.07515748031496064
2021-06,양식,0.09913242009132421
2021-06,음료,0.05576774193548387
2021-06,주점및주류판매,0.020718954248366013
2021-06,패스트푸드,0.03158730158730159
2021-06,한식,0.06747053580271367
2021-07,간식,0.0390625
2021-07,부페,0.024999999999999998
2021-07,아시아음식,0.05713541666666667
2021-07,양식,0.0765783664459161
2021-07,음료,0.043769889840881274
2021-07,주점및주류판매,0.017578616352201256
2021-07,패스트푸드,0.027100130039011704
2021-07,한식,0.05094442816681317
2021-08,간식,0.03885839736553238
2021-08,부페,0.023636363636363636
2021-08,아시아음식,0.05153645833333333
2021-08,양식,0.07507972665148065
2021-08,음료,0.038131868131868134
2021-08,주점및주류판매,0.014230769230769233
2021-08,패스트푸드,0.025500650195058518
2021-08,한식,0.046662043000099074
2021-09,간식,0.050281995661605204
2021-09,부페,0.02090909090909091
2021-09,아시아음식,0.0660672703751617
2021-09,양식,0.0943918918918919
2021-09,음료,0.04805147058823529
2021-09,주점및주류판매,0.021229773462783173
2021-09,패스트푸드,0.02926797385620915
2021-09,한식,0.059549469088022236
2021-10,간식,0.05109559613319012
2021-10,부페,0.022500000000000003
2021-10,아시아음식,0.07415189873417721
2021-10,양식,0.09301969365426696
2021-10,음료,0.04907925407925408
2021-10,주점및주류판매,0.02545171339563863
2021-10,패스트푸드,0.02618741976893453
2021-10,한식,0.06648369670075245
2021-11,간식,0.053897216274089936
2021-11,부페,0.04384615384615384
2021-11,아시아음식,0.08095477386934673
2021-11,양식,0.0844543429844098
2021-11,음료,0.05126168224299066
2021-11,주점및주류판매,0.02990936555891239
2021-11,패스트푸드,0.02661635220125786
2021-11,한식,0.06989242147728364
2021-12,간식,0.056797040169133194
2021-12,부페,0.02909090909090909
2021-12,아시아음식,0.0788621997471555
2021-12,양식,0.0859070796460177
2021-12,음료,0.04776376146788991
2021-12,주점및주류판매,0.03350609756097561
2021-12,패스트푸드,0.02877551020408163
2021-12,한식,0.06565343659244918
2022-01,간식,0.05992670157068063
2022-01,부페,0.02
2022-01,아시아음식,0.0768625
2022-01,양식,0.09324009324009325
2022-01,음료,0.05295871559633027
2022-01,주점및주류판매,0.024044585987261145
2022-01,패스트푸드,0.032528301886792454
2022-01,한식,0.06999999999999999
2022-02,간식,0.05583243823845328
2022-02,부페,0.018333333333333333
2022-02,아시아음식,0.07175
2022-02,양식,0.0868
2022-02,음료,0.047918604651162794
2022-02,주점및주류판매,0.022317880794701987
2022-02,패스트푸드,0.029010282776349615
2022-02,한식,0.06402537716055551
2022-03,간식,0.05453191489361702
2022-03,부페,0.014545454545454545
2022-03,아시아음식,0.07064312736443884
2022-03,양식,0.08004683840749414
2022-03,음료,0.04273148148148148
2022-03,주점및주류판매,0.023591331269349845
2022-03,패스트푸드,0.023994910941475826
2022-03,한식,0.058295973021225946
2022-04,간식,0.05253521126760564
2022-04,부페,0.027777777777777776
2022-04,아시아음식,0.07344611528822055
2022-04,양식,0.09241860465116279
2022-04,음료,0.044750290360046456
2022-04,주점및주류판매,0.02592476489028213
2022-04,패스트푸드,0.023861892583120204
2022-04,한식,0.06273269097049766
2022-05,간식,0.05973884657236126
2022-05,부페,0.022727272727272728
2022-05,아시아음식,0.08719072164948453
2022-05,양식,0.1125813953488372
2022-05,음료,0.0538224852071006
2022-05,주점및주류판매,0.02891304347826087
2022-05,패스트푸드,0.03050518134715026
2022-05,한식,0.07441079788823587
2022-06,간식,0.057666666666666665
2022-06,부페,0.02888888888888889
2022-06,아시아음식,0.0775741935483871
2022-06,양식,0.1025531914893617
2022-06,음료,0.05230403800475059
2022-06,주점및주류판매,0.025919003115264797
2022-06,패스트푸드,0.03119363395225464
2022-06,한식,0.07036920580180546
2022-07,간식,0.03711386696730552
2022-07,부페,0.03
2022-07,아시아음식,0.05060367454068242
2022-07,양식,0.07293556085918855
2022-07,음료,0.03547008547008547
2022-07,주점및주류판매,0.01707395498392283
2022-07,패스트푸드,0.02239189189189189
