년,지역명,전체매출금액비율,전체매출수비율
2023,안덕면,0.23522714203565268,0.9640962238834578
2023,애월읍,0.18009283135636928,0.6959288292934502
2023,조천읍,0.17572860962566844,0.6913168449197861
2023,서귀포시내,0.15777958299485512,0.6128191849444896
2023,제주시내,0.15558294917762222,0.7152241761994195
2023,성산읍,0.14605912831453827,0.5382261505638525
2023,한림읍,0.13330853174603174,0.514232390873016
2023,대정읍,0.1309995019093475,0.5686003652664785
2023,구좌읍,0.11463078171490398,0.49231133351365974
2023,표선면,0.11001117818019227,0.4168745808182428
2023,우도면,0.10980064308681672,0.5697363344051447
2023,한경면,0.09688792528352236,0.39466310873915944
2023,남원읍,0.07883393131727319,0.34316504356740135
2023,추자면,0.04507177033492823,0.1368421052631579
2022,안덕면,0.1893132291437376,1.053002421307506
2022,애월읍,0.1367516370439663,0.755977549111319
2022,조천읍,0.13002611367127498,0.684284178187404
2022,성산읍,0.11875189745319616,0.5988159892055996
2022,서귀포시내,0.1137958183236157,0.5966598581349575
2022,제주시내,0.10305571898902144,0.6513211822290099
2022,한림읍,0.10227641140301845,0.5564631078814981
2022,대정읍,0.09967549421857516,0.5859026482655726
2022,우도면,0.09678461538461539,0.698923076923077
2022,구좌읍,0.08791393254997712,0.5315473828780711
2022,한경면,0.08486179477470655,0.4600530102234002
2022,표선면,0.08191664586972798,0.39510107312203646
2022,남원읍,0.05869976359338062,0.3383333333333334
2022,추자면,0.029774436090225564,0.12132832080200502
2021,안덕면,0.1795059029296021,1.0193944031482292
2021,애월읍,0.13862433862433862,0.8400862663906142
2021,조천읍,0.11443096048542253,0.7070297469291105
2021,성산읍,0.11069635627530364,0.6081473684210527
2021,서귀포시내,0.1095114220133348,0.6433901701460998
2021,한림읍,0.10625842696629215,0.608876404494382
2021,제주시내,0.09781272983759148,0.7061911766478979
2021,이호동,0.09625,0.4663333333333333
2021,대정읍,0.09612827034883721,0.6410719476744187
2021,구좌읍,0.09119994044960548,0.58296858716689
2021,우도면,0.09076982294072362,0.7130177059276367
2021,한경면,0.08186222558667676,0.48546934140802417
2021,표선면,0.07657506869847615,0.3975143642268299
2021,화북동,0.05779591836734694,0.41006122448979593
2021,남원읍,0.05516586333994896,0.352673660334562
