지역명,소분류명,전체매출금액비율,전체매출수비율
구좌읍,두부,0.22875,1.335625
구좌읍,베이커리,0.22465665236051502,1.3105150214592276
구좌읍,회,0.18946341463414637,0.4643414634146341
구좌읍,갈비,0.18000000000000002,0.48958904109589046
구좌읍,순두부,0.16692307692307692,1.376923076923077
구좌읍,돼지고기,0.16277070063694268,0.3482802547770701
구좌읍,일식,0.16204238921001926,0.5249710982658959
구좌읍,동남아/인도음식,0.1597222222222222,1.1236111111111111
구좌읍,샤브샤브,0.15916666666666668,0.34833333333333333
구좌읍,가정식,0.13275541795665635,0.5537497723547623
구좌읍,디저트,0.11499999999999999,0.79
구좌읍,양식,0.09618099547511312,0.5666244343891402
구좌읍,우동,0.0945945945945946,0.6267567567567567
구좌읍,아구찜,0.09111111111111111,0.30814814814814817
구좌읍,고기,0.08499999999999999,0.18287037037037038
구좌읍,중식,0.08368421052631579,0.4885714285714286
구좌읍,도너츠,0.0825,1.0625
구좌읍,기타세계요리,0.07962962962962962,0.3966666666666666
구좌읍,커피,0.07923639689071788,0.7544947416552354
구좌읍,단품요리 전문,0.07551324503311259,0.47898316777041944
구좌읍,햄버거,0.06930434782608696,0.3431304347826087
구좌읍,피자,0.06594594594594595,0.28873873873873873
구좌읍,돈까스,0.06409836065573771,0.4560655737704918
구좌읍,주스,0.06387096774193549,0.8093548387096774
구좌읍,해장국,0.06346733668341709,0.37994974874371856
구좌읍,분식,0.06115303983228512,0.4263731656184486
구좌읍,면류,0.06027777777777778,0.3389166666666667
구좌읍,오리,0.05814814814814815,0.08296296296296297
구좌읍,치킨,0.05782273603082852,0.35040462427745667
구좌읍,장어,0.0536,0.08560000000000001
구좌읍,보쌈,0.05285714285714286,0.16071428571428573
구좌읍,스테이크,0.036153846153846154,0.19365384615384615
구좌읍,아이스크림/빙수,0.034482758620689655,0.4458620689655172
구좌읍,주류,0.03351063829787234,0.10053191489361701
구좌읍,만두,0.03307692307692308,0.5653846153846154
구좌읍,족발,0.03195652173913043,0.1441304347826087
구좌읍,국밥,0.0276,0.17373333333333332
구좌읍,맥주/요리주점,0.0196078431372549,0.07941176470588235
구좌읍,막창,0.017916666666666668,0.03416666666666667
구좌읍,부페,0.016666666666666666,0.22166666666666668
구좌읍,구내식당/푸드코트,0.016666666666666666,0.13999999999999999
구좌읍,뷔페,0.016666666666666666,0.07333333333333335
구좌읍,참치,0.016666666666666666,0.04466666666666667
구좌읍,샌드위치/토스트,0.016379310344827584,0.3867241379310345
구좌읍,핫도그,0.01,0.14500000000000002
구좌읍,떡/한과,0.0096875,0.02375
구좌읍,포장마차,0.0,0.01
남원읍,기타세계요리,0.24,0.6778571428571428
남원읍,아구찜,0.1962962962962963,0.5074074074074074
남원읍,주꾸미,0.19499999999999998,0.5041666666666667
남원읍,회,0.17032388663967613,0.274412955465587
남원읍,퓨전음식,0.12785714285714286,0.4714285714285714
남원읍,돼지고기,0.1216595744680851,0.21574468085106385
남원읍,스테이크,0.12000000000000001,0.22571428571428573
남원읍,일식,0.10896825396825398,0.33214285714285713
남원읍,중식,0.10333333333333333,0.5981642512077295
남원읍,두부,0.10230769230769231,0.6284615384615384
남원읍,고기,0.09960431654676259,0.1681654676258993
남원읍,베이커리,0.09585470085470085,1.2135042735042734
남원읍,순두부,0.09307692307692307,0.7446153846153846
남원읍,감자탕,0.07864406779661016,0.2949152542372881
남원읍,가정식,0.06995832092884788,0.2999374813932718
남원읍,아이스크림/빙수,0.06953488372093024,1.2197674418604652
남원읍,피자,0.0684,0.4192
남원읍,국밥,0.06787330316742081,0.4386425339366516
남원읍,꼬치구이,0.05888888888888889,0.18833333333333335
남원읍,오리,0.05818181818181819,0.21298701298701297
남원읍,돈까스,0.057023809523809525,0.40904761904761905
남원읍,해장국,0.05193548387096774,0.31225806451612903
남원읍,추어탕,0.05111111111111111,0.2922222222222222
남원읍,막창,0.050377358490566036,0.17679245283018868
남원읍,갈비,0.04961538461538462,0.11192307692307693
남원읍,단품요리 전문,0.047447731755424064,0.26398422090729784
남원읍,커피,0.04688607594936709,0.5769789029535866
남원읍,양식,0.04606498194945848,0.2739350180505415
남원읍,분식,0.04476851851851852,0.4324537037037037
남원읍,치킨,0.042273730684326716,0.24664459161147903
남원읍,면류,0.04108433734939759,0.24879518072289156
남원읍,맥주/요리주점,0.038282828282828286,0.11070707070707071
남원읍,햄버거,0.03704918032786886,0.2769672131147541
남원읍,족발,0.037,0.132
남원읍,기사식당,0.03027777777777778,0.19555555555555557
남원읍,보쌈,0.026000000000000002,0.086
남원읍,주류,0.01958333333333333,0.05625
남원읍,떡/한과,0.013488372093023254,0.038837209302325586
남원읍,부페,0.012222222222222223,0.08666666666666667
남원읍,샐러드,0.00818181818181818,0.024545454545454547
남원읍,뷔페,0.005555555555555556,0.04111111111111111
대정읍,회,0.3935112359550562,0.6843820224719102
대정읍,돼지고기,0.3027444794952681,0.5714195583596214
대정읍,고기,0.29,0.4328
대정읍,보쌈,0.23642857142857143,0.41714285714285715
대정읍,베이커리,0.2243820224719101,2.423788121990369
대정읍,양식,0.19391608391608392,1.0511363636363635
대정읍,중식,0.17247974068071312,0.8379416531604538
대정읍,해물탕,0.15200000000000002,0.23766666666666666
대정읍,일식,0.14051502145922748,0.34969957081545067
대정읍,육개장,0.12689655172413794,0.7462068965517241
대정읍,도너츠,0.11608695652173913,2.3143478260869568
대정읍,뷔페,0.10542857142857143,0.4762857142857143
대정읍,면류,0.10375,0.5169166666666667
대정읍,가정식,0.10058390022675737,0.3764399092970522
